" Timestamp","Timestamp formattato","Nome PC","Sistema operativo","Utente","Messaggio"
1715634510869,"13-05-2024 23:08:30","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634533698,"13-05-2024 23:08:53","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634554591,"13-05-2024 23:09:14","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634563702,"13-05-2024 23:09:23","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715634635302,"13-05-2024 23:10:35","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634706764,"13-05-2024 23:11:46","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634765325,"13-05-2024 23:12:45","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634823041,"13-05-2024 23:13:43","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634840152,"13-05-2024 23:14:00","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634866545,"13-05-2024 23:14:26","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634925816,"13-05-2024 23:15:25","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634957858,"13-05-2024 23:15:57","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634981593,"13-05-2024 23:16:21","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635016891,"13-05-2024 23:16:56","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635032932,"13-05-2024 23:17:12","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635054181,"13-05-2024 23:17:34","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635091264,"13-05-2024 23:18:11","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635153317,"13-05-2024 23:19:13","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635230453,"13-05-2024 23:20:30","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635323368,"13-05-2024 23:22:03","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635341759,"13-05-2024 23:22:21","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635364631,"13-05-2024 23:22:44","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635443152,"13-05-2024 23:24:03","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635465218,"13-05-2024 23:24:25","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","NERO si ritira. ROSSO vince la partita di Dama"
1715635465795,"13-05-2024 23:24:25","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635515495,"13-05-2024 23:25:15","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635524255,"13-05-2024 23:25:24","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","ROSSO si ritira. NERO vince la partita di Dama"
1715635525010,"13-05-2024 23:25:25","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715635829024,13-05-2024 23:30:29,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715635993098,13-05-2024 23:33:13,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636068912,13-05-2024 23:34:28,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636285476,13-05-2024 23:38:05,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636319910,13-05-2024 23:38:39,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636339607,13-05-2024 23:38:59,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636387183,13-05-2024 23:39:47,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636471477,13-05-2024 23:41:11,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636495356,13-05-2024 23:41:35,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636517864,13-05-2024 23:41:57,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636541940,13-05-2024 23:42:21,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636576120,13-05-2024 23:42:56,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636603562,13-05-2024 23:43:23,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636689705,13-05-2024 23:44:49,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636721574,13-05-2024 23:45:21,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Scacchi cominciata
1715636774002,13-05-2024 23:46:14,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715636797268,13-05-2024 23:46:37,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Scacchi cominciata
1715640658412,14-05-2024 00:50:58,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715640694312,14-05-2024 00:51:34,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715640702980,14-05-2024 00:51:42,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Scacchi cominciata
1715640740723,14-05-2024 00:52:20,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715640771928,14-05-2024 00:52:51,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715640789784,14-05-2024 00:53:09,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715640813153,14-05-2024 00:53:33,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715640836415,14-05-2024 00:53:56,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715640862441,14-05-2024 00:54:22,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715640901141,14-05-2024 00:55:01,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715640915249,14-05-2024 00:55:15,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715640941592,14-05-2024 00:55:41,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715641331808,14-05-2024 01:02:11,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715641409242,14-05-2024 01:03:29,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715641413184,14-05-2024 01:03:33,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,ROSSO si ritira. NERO vince la partita di Dama
1715641466978,14-05-2024 01:04:26,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715641656182,14-05-2024 01:07:36,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715641665885,14-05-2024 01:07:45,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,ROSSO si ritira. NERO vince la partita di Dama
1715641690821,14-05-2024 01:08:10,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715641901133,14-05-2024 01:11:41,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642043977,14-05-2024 01:14:03,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642076318,14-05-2024 01:14:36,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642255003,14-05-2024 01:17:35,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642292017,14-05-2024 01:18:12,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642319788,14-05-2024 01:18:39,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642341851,14-05-2024 01:19:01,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642377890,14-05-2024 01:19:37,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642764714,14-05-2024 01:26:04,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642794382,14-05-2024 01:26:34,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
